Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
714,Entry long,2020-12-15 09:40,Long,15184.25,1,15184.25,-461.2,-0.15,526.9,0.17,-493.1,-0.16,35283.2,35.28
715,Exit long,2020-12-17 10:00,Close entry(s) order Long,15352.75,1,15368,-311.2,-0.10,321.9,0.10,-378.1,-0.12,34972,34.97
715,Entry long,2020-12-17 09:40,Long,15368,1,15368,-311.2,-0.10,321.9,0.10,-378.1,-0.12,34972,34.97
716,Exit long,2020-12-24 10:55,Close entry(s) order Long,15306.5,1,15339.75,-671.2,-0.22,221.9,0.07,-668.1,-0.22,34300.8,34.30
716,Entry long,2020-12-24 09:40,Long,15339.75,1,15339.75,-671.2,-0.22,221.9,0.07,-668.1,-0.22,34300.8,34.30
717,Exit long,2020-12-29 09:55,Close entry(s) order Long,15486.25,1,15529,-861.2,-0.28,276.9,0.09,-1078.1,-0.35,33439.6,33.44
717,Entry long,2020-12-29 09:40,Long,15529,1,15529,-861.2,-0.28,276.9,0.09,-1078.1,-0.35,33439.6,33.44
718,Exit long,2021-01-05 11:15,Close entry(s) order Long,15326,1,15375.25,-991.2,-0.32,711.9,0.23,-1208.1,-0.39,32448.4,32.45
718,Entry long,2021-01-05 09:40,Long,15375.25,1,15375.25,-991.2,-0.32,711.9,0.23,-1208.1,-0.39,32448.4,32.45
719,Exit long,2021-01-07 16:45,EOD Exit,15553.25,1,15432,2418.8,0.78,3076.9,1.00,-498.1,-0.16,34867.2,34.87
719,Entry long,2021-01-07 09:40,Long,15432,1,15432,2418.8,0.78,3076.9,1.00,-498.1,-0.16,34867.2,34.87
720,Exit long,2021-01-08 10:25,Close entry(s) order Long,15585.25,1,15666,-1621.2,-0.52,306.9,0.10,-1733.1,-0.55,33246,33.25
720,Entry long,2021-01-08 09:40,Long,15666,1,15666,-1621.2,-0.52,306.9,0.10,-1733.1,-0.55,33246,33.25
721,Exit short,2021-01-11 10:25,Close entry(s) order Short,15617.5,1,15551.5,-1326.2,-0.43,586.9,0.19,-1443.1,-0.46,31919.8,31.92
721,Entry short,2021-01-11 09:40,Short,15551.5,1,15551.5,-1326.2,-0.43,586.9,0.19,-1443.1,-0.46,31919.8,31.92
