Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
53,Entry long,2012-04-24,Long,14941,1,14941,-879,-1.18,1213,1.62,-1432,-1.92,10973,10.97
54,Exit long,2012-07-03,Exit ATR,14858,1,14487,1851,2.56,1858,2.56,-697,-0.96,12824,12.82
54,Entry long,2012-06-11,Long,14487,1,14487,1851,2.56,1858,2.56,-697,-0.96,12824,12.82
55,Exit long,2012-08-16,Exit ATR,15218,1,14853,1821,2.45,1828,2.46,-2097,-2.82,14645,14.65
55,Entry long,2012-07-18,Long,14853,1,14853,1821,2.45,1828,2.46,-2097,-2.82,14645,14.65
56,Exit long,2012-08-22,Close entry(s) order Long,15010,1,15220,-1054,-1.38,298,0.39,-1122,-1.47,13591,13.59
56,Entry long,2012-08-16,Long,15220,1,15220,-1054,-1.38,298,0.39,-1122,-1.47,13591,13.59
57,Exit long,2013-11-21,Exit ATR,18321,1,18010,1551,1.72,1558,1.73,-442,-0.49,15142,15.14
57,Entry long,2013-11-07,Long,18010,1,18010,1551,1.72,1558,1.73,-442,-0.49,15142,15.14
58,Exit long,2013-12-04,Close entry(s) order Long,18125,1,18337,-1064,-1.16,668,0.73,-1217,-1.33,14078,14.08
58,Entry long,2013-11-21,Long,18337,1,18337,-1064,-1.16,668,0.73,-1217,-1.33,14078,14.08
59,Exit long,2013-12-25,Exit ATR,18783,1,18476,1531,1.66,1538,1.66,-367,-0.40,15609,15.61
59,Entry long,2013-12-17,Long,18476,1,18476,1531,1.66,1538,1.66,-367,-0.40,15609,15.61
60,Exit long,2014-01-12,Close entry(s) order Long,18579,1,18789,-1054,-1.12,583,0.62,-1222,-1.30,14555,14.56
60,Entry long,2013-12-25,Long,18789,1,18789,-1054,-1.12,583,0.62,-1222,-1.30,14555,14.56
61,Exit long,2014-02-23,Exit ATR,18609,1,18296,1561,1.71,1568,1.71,-542,-0.59,16116,16.12
