Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
267,Exit long,2020-05-13 15:30,EOD Exit,29835,1,29850,-85,-0.06,420,0.28,-405,-0.27,47505,4.75
267,Entry long,2020-05-13 10:30,Long,29850,1,29850,-85,-0.06,420,0.28,-405,-0.27,47505,4.75
268,Exit short,2020-05-18 15:30,EOD Exit,30390,1,30405,65,0.04,870,0.57,-30,-0.02,47570,4.76
268,Entry short,2020-05-18 10:30,Short,30405,1,30405,65,0.04,870,0.57,-30,-0.02,47570,4.76
269,Exit short,2020-05-21 15:30,EOD Exit,29685,1,29785,490,0.33,1645,1.10,-30,-0.02,48060,4.81
269,Entry short,2020-05-21 10:30,Short,29785,1,29785,490,0.33,1645,1.10,-30,-0.02,48060,4.81
270,Exit long,2020-05-28 15:30,EOD Exit,30130,1,30115,65,0.04,495,0.33,-205,-0.14,48125,4.81
270,Entry long,2020-05-28 10:30,Long,30115,1,30115,65,0.04,495,0.33,-205,-0.14,48125,4.81
271,Exit short,2020-05-29 15:30,EOD Exit,30055,1,30090,165,0.11,595,0.40,-80,-0.05,48290,4.83
271,Entry short,2020-05-29 10:30,Short,30090,1,30090,165,0.11,595,0.40,-80,-0.05,48290,4.83
272,Exit long,2020-06-04 15:30,EOD Exit,30430,1,30415,65,0.04,695,0.46,-155,-0.10,48355,4.84
272,Entry long,2020-06-04 10:30,Long,30415,1,30415,65,0.04,695,0.46,-155,-0.10,48355,4.84
273,Exit short,2020-06-05 13:05,Close entry(s) order Short,30395,1,30330,-335,-0.22,195,0.13,-330,-0.22,48020,4.80
273,Entry short,2020-06-05 10:30,Short,30330,1,30330,-335,-0.22,195,0.13,-330,-0.22,48020,4.80
274,Exit short,2020-06-08 13:15,Close entry(s) order Short,30385,1,30325,-310,-0.20,120,0.08,-330,-0.22,47710,4.77
274,Entry short,2020-06-08 10:30,Short,30325,1,30325,-310,-0.20,120,0.08,-330,-0.22,47710,4.77
275,Exit short,2020-06-10 12:05,Close entry(s) order Short,30430,1,30380,-260,-0.17,20,0.01,-255,-0.17,47450,4.75
275,Entry short,2020-06-10 10:30,Short,30380,1,30380,-260,-0.17,20,0.01,-255,-0.17,47450,4.75
276,Exit short,2020-06-11 15:30,EOD Exit,29905,1,30250,1715,1.13,2945,1.95,-30,-0.02,49165,4.92
276,Entry short,2020-06-11 10:30,Short,30250,1,30250,1715,1.13,2945,1.95,-30,-0.02,49165,4.92
277,Exit short,2020-06-17 15:30,EOD Exit,29970,1,29975,15,0.01,170,0.11,-205,-0.14,49180,4.92
277,Entry short,2020-06-17 10:30,Short,29975,1,29975,15,0.01,170,0.11,-205,-0.14,49180,4.92
278,Exit short,2020-06-24 18:10,Close entry(s) order Short,29850,1,29890,190,0.13,695,0.47,-55,-0.04,49370,4.94
278,Entry short,2020-06-24 10:30,Short,29890,1,29890,190,0.13,695,0.47,-55,-0.04,49370,4.94
279,Exit short,2020-06-26 11:00,Close entry(s) order Short,29730,1,29605,-635,-0.43,120,0.08,-655,-0.44,48735,4.87
279,Entry short,2020-06-26 10:30,Short,29605,1,29605,-635,-0.43,120,0.08,-655,-0.44,48735,4.87
280,Exit short,2020-06-29 11:20,Close entry(s) order Short,29615,1,29580,-185,-0.13,0,0.00,-180,-0.12,48550,4.86
280,Entry short,2020-06-29 10:30,Short,29580,1,29580,-185,-0.13,0,0.00,-180,-0.12,48550,4.86
281,Exit long,2020-07-01 15:30,EOD Exit,29830,1,29830,-10,-0.01,220,0.15,-155,-0.10,48540,4.85
281,Entry long,2020-07-01 10:30,Long,29830,1,29830,-10,-0.01,220,0.15,-155,-0.10,48540,4.85
282,Exit long,2020-07-08 15:30,EOD Exit,29995,1,29995,-10,-0.01,70,0.05,-230,-0.15,48530,4.85
282,Entry long,2020-07-08 10:30,Long,29995,1,29995,-10,-0.01,70,0.05,-230,-0.15,48530,4.85
283,Exit short,2020-07-09 15:30,EOD Exit,29725,1,29910,915,0.61,1170,0.78,-105,-0.07,49445,4.94
283,Entry short,2020-07-09 10:30,Short,29910,1,29910,915,0.61,1170,0.78,-105,-0.07,49445,4.94
284,Exit short,2020-07-15 10:50,Close entry(s) order Short,29760,1,29740,-110,-0.07,0,0.00,-105,-0.07,49335,4.93
284,Entry short,2020-07-15 10:30,Short,29740,1,29740,-110,-0.07,0,0.00,-105,-0.07,49335,4.93
285,Exit short,2020-07-16 12:00,Close entry(s) order Short,29630,1,29575,-285,-0.19,0,0.00,-280,-0.19,49050,4.91
285,Entry short,2020-07-16 10:30,Short,29575,1,29575,-285,-0.19,0,0.00,-280,-0.19,49050,4.91
286,Exit short,2020-07-20 13:05,Close entry(s) order Short,29715,1,29675,-210,-0.14,45,0.03,-205,-0.14,48840,4.88
286,Entry short,2020-07-20 10:30,Short,29675,1,29675,-210,-0.14,45,0.03,-205,-0.14,48840,4.88
287,Exit short,2020-07-22 10:55,Close entry(s) order Short,29870,1,29840,-160,-0.11,0,0.00,-155,-0.10,48680,4.87
287,Entry short,2020-07-22 10:30,Short,29840,1,29840,-160,-0.11,0,0.00,-155,-0.10,48680,4.87
288,Exit short,2020-07-23 11:20,Close entry(s) order Short,30045,1,30005,-210,-0.14,20,0.01,-230,-0.15,48470,4.85
288,Entry short,2020-07-23 10:30,Short,30005,1,30005,-210,-0.14,20,0.01,-230,-0.15,48470,4.85
