Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
505,Entry long,2023-08-23 09:30,Long,2236.2,1,2236.2,374,0.17,877,0.39,-373,-0.17,59910,119.82
506,Exit long,2023-09-15 16:50,EOD Exit,2240.4,1,2243.2,-286,-0.13,447,0.20,-413,-0.18,59624,119.25
506,Entry long,2023-09-15 09:30,Long,2243.2,1,2243.2,-286,-0.13,447,0.20,-413,-0.18,59624,119.25
507,Exit short,2023-09-21 10:20,Close entry(s) order Short,2236.6,1,2230.9,-576,-0.26,87,0.04,-663,-0.30,59048,118.10
507,Entry short,2023-09-21 09:30,Short,2230.9,1,2230.9,-576,-0.26,87,0.04,-663,-0.30,59048,118.10
508,Exit long,2023-09-29 09:45,Close entry(s) order Long,2182.8,1,2187.1,-436,-0.20,77,0.04,-453,-0.21,58612,117.22
508,Entry long,2023-09-29 09:30,Long,2187.1,1,2187.1,-436,-0.20,77,0.04,-453,-0.21,58612,117.22
509,Exit short,2023-10-02 16:50,EOD Exit,2139.5,1,2145.4,584,0.27,737,0.34,-353,-0.16,59196,118.39
509,Entry short,2023-10-02 09:30,Short,2145.4,1,2145.4,584,0.27,737,0.34,-353,-0.16,59196,118.39
510,Exit long,2023-10-13 16:50,EOD Exit,2238.5,1,2218.4,2004,0.90,2117,0.95,-473,-0.21,61200,122.40
510,Entry long,2023-10-13 09:30,Long,2218.4,1,2218.4,2004,0.90,2117,0.95,-473,-0.21,61200,122.40
511,Exit long,2023-10-18 11:05,Close entry(s) order Long,2251.1,1,2262,-1096,-0.48,907,0.40,-1173,-0.52,60104,120.21
511,Entry long,2023-10-18 09:30,Long,2262,1,2262,-1096,-0.48,907,0.40,-1173,-0.52,60104,120.21
512,Exit long,2023-10-20 09:35,Close entry(s) order Long,2285.5,1,2286.5,-106,-0.05,57,0.02,-153,-0.07,59998,120.00
512,Entry long,2023-10-20 09:30,Long,2286.5,1,2286.5,-106,-0.05,57,0.02,-153,-0.07,59998,120.00
513,Exit short,2023-10-24 11:50,Close entry(s) order Short,2275.2,1,2267.9,-736,-0.32,257,0.11,-753,-0.33,59262,118.52
513,Entry short,2023-10-24 09:30,Short,2267.9,1,2267.9,-736,-0.32,257,0.11,-753,-0.33,59262,118.52
514,Exit long,2023-10-25 11:00,Close entry(s) order Long,2273.1,1,2285.2,-1216,-0.53,867,0.38,-1633,-0.71,58046,116.09
514,Entry long,2023-10-25 09:30,Long,2285.2,1,2285.2,-1216,-0.53,867,0.38,-1633,-0.71,58046,116.09
515,Exit short,2023-11-07 11:30,Close entry(s) order Short,2267.7,1,2265.9,-186,-0.08,407,0.18,-283,-0.12,57860,115.72
515,Entry short,2023-11-07 09:30,Short,2265.9,1,2265.9,-186,-0.08,407,0.18,-283,-0.12,57860,115.72
